mmsi,student_label,student_confidence,pybossa_url
224082260,longliner,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4052
227146300,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4057
227503000,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4059
356567000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4067
357788000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4068
416001900,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4070
416308000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4071
431796000,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4086
432106000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4088
432288000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4089
432321000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4090
432322000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4091
432370000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4092
432395000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4093
432399000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4094
432558000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4095
441032000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4100
576276000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4101
576277000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4102
576507000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4103
577105000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4105
577132000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4106
577169000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4107
224020170,longliner,0.875,http://crowd.globalfishingwatch.org/project/maptests2/task/4050
370599000,reefer,0.8571428571428571,http://crowd.globalfishingwatch.org/project/maptests2/task/4069
416602000,reefer,0.8571428571428571,http://crowd.globalfishingwatch.org/project/maptests2/task/4072
416702000,reefer,0.8571428571428571,http://crowd.globalfishingwatch.org/project/maptests2/task/4073
431272000,other,0.8333333333333334,http://crowd.globalfishingwatch.org/project/maptests2/task/4079
431731000,other,0.8,http://crowd.globalfishingwatch.org/project/maptests2/task/4085
432564000,purse_seine,0.6666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/4096
432861000,other,0.6666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/4098
431710000,other,0.6,http://crowd.globalfishingwatch.org/project/maptests2/task/4083
224100530,"longliner:7,trawler:2,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4053
227370000,"purse_seine:8,trawler:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4058
247110080,"purse_seine:6,baddata:2,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4060
271072208,"purse_seine:6,otherfish:1,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4064
271072850,"longliner:1,purse_seine:5,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4066
431465000,"longliner:2,trawler:2,other:2",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4080
431469000,"longliner:1,otherfish:1,other:4",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4081
431919000,"otherfish:1,other:3",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4087
432760000,"longliner:1,other:2",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4097
577077000,"reefer:2,baddata:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/4104
224072890,"longliner:1,trawler:8,not_known:1",0.27,http://crowd.globalfishingwatch.org/project/maptests2/task/4051
416730000,"reefer:5,other:1,not_known:1",0.2571428571428571,http://crowd.globalfishingwatch.org/project/maptests2/task/4074
431028000,"not_fishing:2,other:4,not_known:1",0.2571428571428571,http://crowd.globalfishingwatch.org/project/maptests2/task/4076
431254000,"longliner:1,otherfish:2,other:3,not_known:1",0.2571428571428571,http://crowd.globalfishingwatch.org/project/maptests2/task/4078
224303000,"purse_seine:3,trawler:1,otherfish:1,not_fishing:1,other:1,not_known:2",0.23333333333333334,http://crowd.globalfishingwatch.org/project/maptests2/task/4055
247110180,"purse_seine:3,baddata:1,not_fishing:2,other:1,not_known:2",0.23333333333333334,http://crowd.globalfishingwatch.org/project/maptests2/task/4061
256000325,"trawler:6,other:1,not_known:2",0.23333333333333334,http://crowd.globalfishingwatch.org/project/maptests2/task/4062
224307000,"purse_seine:3,baddata:2,other:1,not_known:2",0.22499999999999998,http://crowd.globalfishingwatch.org/project/maptests2/task/4056
263575000,"trawler:5,other:1,not_known:2",0.22499999999999998,http://crowd.globalfishingwatch.org/project/maptests2/task/4063
431225000,"longliner:1,trawler:1,other:3,not_known:2",0.21428571428571427,http://crowd.globalfishingwatch.org/project/maptests2/task/4077
