mmsi,student_label,student_confidence,pybossa_url
200000055,baddata,1,http://crowd.globalfishingwatch.org/project/maptests2/task/417
227101600,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/418
247155210,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/423
224055250,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/429
247051730,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/451
265502370,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/456
261008070,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/465
224094160,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/468
271072382,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/469
247121880,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/471
228282000,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/473
304145000,not_fishing,1,http://crowd.globalfishingwatch.org/project/maptests2/task/490
247143580,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/491
231045000,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/500
412698540,baddata,1,http://crowd.globalfishingwatch.org/project/maptests2/task/514
431702990,longliner,1,http://crowd.globalfishingwatch.org/project/maptests2/task/522
228258000,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/528
701000662,trawler,0.8,http://crowd.globalfishingwatch.org/project/maptests2/task/444
224020790,longliner,0.8,http://crowd.globalfishingwatch.org/project/maptests2/task/512
205155000,trawler,0.8,http://crowd.globalfishingwatch.org/project/maptests2/task/543
416004801,otherfish,0.6666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/427
900303106,baddata,0.5,http://crowd.globalfishingwatch.org/project/maptests2/task/460
338145405,otherfish,0.5,http://crowd.globalfishingwatch.org/project/maptests2/task/477
412435094,baddata,0.4,http://crowd.globalfishingwatch.org/project/maptests2/task/494
412300862,baddata,0.4,http://crowd.globalfishingwatch.org/project/maptests2/task/515
900412851,baddata,0.4,http://crowd.globalfishingwatch.org/project/maptests2/task/518
412568997,baddata,0.4,http://crowd.globalfishingwatch.org/project/maptests2/task/532
412418986,baddata,0.4,http://crowd.globalfishingwatch.org/project/maptests2/task/536
699889966,baddata,0.4,http://crowd.globalfishingwatch.org/project/maptests2/task/540
412328565,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/412
412430414,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/415
251194540,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/416
412479576,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/419
110701275,baddata,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/421
